0,test,GI,1,0.1248,,,
0,test,GI,2,0.1248,,,0.1299
0,test,GI,3,0.1244,,,
0,test,GI,4,0.1456,,,
0,test,GI,5,0.1346,,,
0,test,GI,6,0.1292,,,
0,test,GI,7,0.128,,,
0,test,GI,8,0.1258,,,
0,test,GI,9,0.134,,,
0,test,GI,10,0.1344,,,
0,test,GI,11,0.1288,,,
0,test,GI,12,0.1288,,,
0,test,GI,13,0.1288,,,
0,test,GI,14,0.1288,,,
0,test,GI,15,0.1288,,,
0,test,GI,16,0.1288,,,
0,training,GI,16,0.1214,,,0.123175
0,training,GI,15,0.1214,,,
0,training,GI,14,0.1214,,,
0,training,GI,13,0.1214,,,
0,training,GI,12,0.1214,,,
0,training,GI,11,0.1214,,,
0,training,GI,10,0.1282,,,
0,training,GI,9,0.1248,,,
0,training,GI,8,0.1196,,,
0,training,GI,7,0.1238,,,
0,training,GI,6,0.1244,,,
0,training,GI,5,0.1272,,,
0,training,GI,4,0.1382,,,
0,training,GI,3,0.1178,,,
0,training,GI,2,0.1192,,,
0,training,GI,1,0.1192,,,
0,training,ME,1,0.1088,,,0.1105125
0,training,ME,2,0.1074,,,
0,training,ME,3,0.107,,,
0,training,ME,4,0.1068,,,
0,training,ME,5,0.1136,,,
0,training,ME,6,0.1194,,,
0,training,ME,7,0.1112,,,
0,training,ME,8,0.1106,,,
0,training,ME,9,0.1106,,,
0,training,ME,10,0.1104,,,
0,training,ME,11,0.1104,,,
0,training,ME,12,0.1104,,,
0,training,ME,13,0.1104,,,
0,training,ME,14,0.1104,,,
0,training,ME,15,0.1104,,,
0,training,ME,16,0.1104,,,
0,test,ME,16,0.117,,,0.1177625
0,test,ME,15,0.117,,,
0,test,ME,14,0.117,,,
0,test,ME,13,0.117,,,
0,test,ME,12,0.117,,,
0,test,ME,11,0.117,,,
0,test,ME,10,0.117,,,
0,test,ME,9,0.1176,,,
0,test,ME,8,0.1176,,,
0,test,ME,7,0.1194,,,
0,test,ME,6,0.1258,,,
0,test,ME,5,0.1226,,,
0,test,ME,4,0.1158,,,
0,test,ME,3,0.1154,,,
0,test,ME,2,0.1144,,,
0,test,ME,1,0.1166,,,
0,training,EN,1,0.1192,,0.117525,
0,training,EN,2,0.1088,,,
0,training,EN,3,0.115,,,
0,training,EN,4,0.1088,,,
0,training,EN,5,0.1218,,,
0,training,EN,6,0.1188,,,
0,training,EN,7,0.1188,,,
0,training,EN,8,0.1188,,,
0,training,EN,9,0.1188,,,
0,training,EN,10,0.1188,,,
0,training,EN,11,0.1188,,,
0,training,EN,12,0.1188,,,
0,training,EN,13,0.1188,,,
0,training,EN,14,0.1188,,,
0,training,EN,15,0.1188,,,
0,training,EN,16,0.1188,,,
0,test,EN,16,0.1268,,0.1255125,
0,test,EN,15,0.1268,,,
0,test,EN,14,0.1268,,,
0,test,EN,13,0.1268,,,
0,test,EN,12,0.1268,,,
0,test,EN,11,0.1268,,,
0,test,EN,10,0.1268,,,
0,test,EN,9,0.1268,,,
0,test,EN,8,0.1268,,,
0,test,EN,7,0.1268,,,
0,test,EN,6,0.1268,,,
0,test,EN,5,0.1306,,,
0,test,EN,4,0.1174,,,
0,test,EN,3,0.124,,,
0,test,EN,2,0.1166,,,
0,test,EN,1,0.1248,,,